Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
623b6d269b37a934df022688,613ce2d635367eb92cab3cc0,APPROVED,2022-03-23T18:55:43.943000Z,2022-03-23T19:33:55.746000Z,2022-03-23T19:50:33.196000Z,,2292,52BD9173,89,"Spanish, English",24,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,DATA_EXPIRED
623b6d27f81038d0dea2ecad,6142572425aea94203b1e0de,APPROVED,2022-03-23T18:55:35.878000Z,2022-03-23T19:39:37.741000Z,2022-03-23T19:50:36.455000Z,,2642,52BD9173,88,"English, Spanish",23,Male,Mixed,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
623b6d2d16975f4abeb2b84d,6162daf69e4d012b71c4383c,APPROVED,2022-03-23T18:55:55.572000Z,2022-03-23T19:29:28.856000Z,2022-03-23T19:50:28.176000Z,,2014,52BD9173,48,English,21,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
623b6d2d60fdd92731608966,5ea90157d75274376cef80f8,APPROVED,2022-03-23T18:55:41.783000Z,2022-03-23T19:26:31.629000Z,2022-03-23T19:50:33.787000Z,,1850,52BD9173,151,"English, Portuguese, Spanish",34,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
623b6d346ba89eb3b35af887,601857c3c3f5ce0c3e5fb913,APPROVED,2022-03-23T18:55:48.950000Z,2022-03-23T20:19:39.646000Z,2022-03-23T20:21:07.776000Z,,5031,52BD9173,392,"Spanish, English",24,Male,Other,Mexico,Mexico,Mexico,Spanish,No,Part-Time
623b6d366ba89eb3b35af889,5eceffdf967c2c3253abc56c,APPROVED,2022-03-23T18:57:19.787000Z,2022-03-23T19:25:13.813000Z,2022-03-23T19:50:09.164000Z,,1675,52BD9173,113,"English, Spanish",23,Male,Mixed,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
623b6d369b37a934df022689,607c788174ef9ae298722d37,APPROVED,2022-03-23T18:55:50.571000Z,2022-03-23T19:26:48.361000Z,2022-03-23T19:50:31.468000Z,,1858,52BD9173,63,"Polish, English",24,Male,White,Poland,Poland,Poland,Polish,Yes,Due to start a new job within the next month
623b6d37cfbb94f6c935ea51,5aea9386ef2d830001a97860,APPROVED,2022-03-23T18:55:51.481000Z,2022-03-23T19:10:55.552000Z,2022-03-23T19:50:29.457000Z,,905,52BD9173,356,"English, Spanish",23,Male,White,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
623b6d3a418471e7b7a4682a,5fa9a3c71c6cce1cc396a057,APPROVED,2022-03-23T18:55:58.425000Z,2022-03-23T19:15:59.473000Z,2022-03-23T19:50:27.151000Z,,1202,52BD9173,474,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
623b6d3c89ad33af2373f7f5,5fa68878579b582b100276cf,APPROVED,2022-03-23T18:56:19.647000Z,2022-03-23T19:25:26.965000Z,2022-03-23T19:50:24.008000Z,,1748,52BD9173,54,"Polish, English",22,Male,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,Part-Time
623b6d4693cdb15ca25cc6ab,5e2da1bd8844873931bf6908,APPROVED,2022-03-23T18:56:12.597000Z,2022-03-23T19:34:47.642000Z,2022-03-23T19:50:26.643000Z,,2316,52BD9173,156,"Italian, Farsi, English",30,Male,White,Iran,Italy,Iran,Farsi,Yes,Unemployed (and job seeking)
623b6d4855910b1ee3f7d756,602e701fc970b706e28ed634,APPROVED,2022-03-23T18:57:28.550000Z,2022-03-23T20:10:22.102000Z,2022-03-23T20:14:11.957000Z,,4374,52BD9173,206,"English, Polish",20,Male,White,Poland,Poland,Poland,Polish,Yes,Due to start a new job within the next month
623b6d4cd7134a0beeecaa2b,5d57d77df9a0cd00177fc3da,APPROVED,2022-03-23T18:56:38.479000Z,2022-03-23T19:37:27.470000Z,2022-03-23T19:50:19.841000Z,,2449,52BD9173,365,"English, Twi",22,Female,Mixed,Ghana,Netherlands,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
623b6d4fa8b2d2cda2ac32e7,598b7cd7f472de0001731be6,APPROVED,2022-03-23T18:56:15.511000Z,2022-03-23T19:48:38.980000Z,2022-03-25T13:55:10.129000Z,,3144,NOCODE,245,"English, Spanish, French",37,Female,Other,Mexico,Mexico,Mexico,Spanish,No,Full-Time
